sample_alias	experiment_name	subject_id	timepoint
PNPM__5455	ERR1137328	PNP_5455	0
PNPM__5455	ERR1137639	PNP_5455	0
PNPM__5455	ERR1137667	PNP_5455	0
PNPM__5460	ERR1136856	PNP_5460	0
PNPM__5465	ERR1136857	PNP_5465	0
PNPM__5464	ERR1136858	PNP_5464	0
PNPM__5463	ERR1136859	PNP_5463	0
PNPM__5461	ERR1136860	PNP_5461	0
PNPM__5472	ERR1136861	PNP_5472	0
PNPM__5485	ERR1136862	PNP_5485	0
PNPM__5471	ERR1136863	PNP_5471	0
PNPM__5486	ERR1136864	PNP_5486	0
PNPM__5533	ERR1136865	PNP_5533	0
PNPM__5533	ERR1137572	PNP_5533	0
PNPM__5533	ERR1137707	PNP_5533	0
PNPM__5498	ERR1136866	PNP_5498	0
PNPM__5496	ERR1136867	PNP_5496	0
PNPM__5497	ERR1136868	PNP_5497	0
PNPM__5534	ERR1136869	PNP_5534	0
PNPM__5532	ERR1136870	PNP_5532	0
PNPM__5532	ERR1137573	PNP_5532	0
PNPM__5495	ERR1136871	PNP_5495	0
PNPM__5536	ERR1136872	PNP_5536	0
PNPM__5540	ERR1136873	PNP_5540	0
PNPM__5540	ERR1137574	PNP_5540	0
PNPM__5539	ERR1136874	PNP_5539	0
PNPM__5541	ERR1136875	PNP_5541	0
PNPM__5537	ERR1136876	PNP_5537	0
PNPM__5538	ERR1136877	PNP_5538	0
PNPM__5561	ERR1136878	PNP_5561	0
PNPM__5548	ERR1136879	PNP_5548	0
PNPM__5551	ERR1136880	PNP_5551	0
PNPM__5593	ERR1136881	PNP_5593	0
PNPM__5593	ERR1137575	PNP_5593	0
PNPM__5560	ERR1136882	PNP_5560	0
PNPM__5562	ERR1136883	PNP_5562	0
PNPM__5562	ERR1136922	PNP_5562	0
PNPM__5559	ERR1136884	PNP_5559	0
PNPM__5559	ERR1136923	PNP_5559	0
PNPM__5557	ERR1136885	PNP_5557	0
PNPM__5549	ERR1136886	PNP_5549	0
PNPM__5584	ERR1136887	PNP_5584	0
PNPM__5585	ERR1136888	PNP_5585	0
PNPM__5586	ERR1136889	PNP_5586	0
PNPM__5583	ERR1136890	PNP_5583	0
PNPM__5582	ERR1136891	PNP_5582	0
PNPM__5591	ERR1136892	PNP_5591	0
PNPM__5587	ERR1136893	PNP_5587	0
PNPM__5592	ERR1136894	PNP_5592	0
PNPM__5592	ERR1137576	PNP_5592	0
PNPM__5600	ERR1136895	PNP_5600	0
PNPM__5581	ERR1136896	PNP_5581	0
PNPM__5581	ERR1137577	PNP_5581	0
PNPM__5588	ERR1136897	PNP_5588	0
PNPM__5589	ERR1136898	PNP_5589	0
PNPM__5619	ERR1136899	PNP_5619	0
PNPM__5610	ERR1136900	PNP_5610	0
PNPM__5609	ERR1136901	PNP_5609	0
PNPM__5608	ERR1136902	PNP_5608	0
PNPM__5606	ERR1136903	PNP_5606	0
PNPM__5605	ERR1136904	PNP_5605	0
PNPM__5550	ERR1136905	PNP_5550	0
PNPM__5558	ERR1136906	PNP_5558	0
PNPM__5627	ERR1136907	PNP_5627	0
PNPM__5636	ERR1136908	PNP_5636	0
PNPM__5630	ERR1136909	PNP_5630	0
PNPM__5628	ERR1136910	PNP_5628	0
PNPM__5628	ERR1137603	PNP_5628	0
PNPM__5629	ERR1136911	PNP_5629	0
PNPM__5626	ERR1136912	PNP_5626	0
PNPM__5645	ERR1136913	PNP_5645	0
PNPM__5641	ERR1136914	PNP_5641	0
PNPM__5667	ERR1136915	PNP_5667	0
PNPM__5647	ERR1136916	PNP_5647	0
PNPM__5644	ERR1136917	PNP_5644	0
PNPM__5644	ERR1137578	PNP_5644	0
PNPM__5638	ERR1136918	PNP_5638	0
PNPM__5638	ERR1137579	PNP_5638	0
PNPM__5643	ERR1137180	PNP_5643	0
PNPM__5640	ERR1137181	PNP_5640	0
PNPM__5642	ERR1137182	PNP_5642	0
PNPM__5642	ERR1137397	PNP_5642	0
PNPM__5639	ERR1137183	PNP_5639	0
PNPM__5666	ERR1137184	PNP_5666	0
PNPM__5666	ERR1137398	PNP_5666	0
PNPM__5668	ERR1137185	PNP_5668	0
PNPM__5658	ERR1137186	PNP_5658	0
PNPM__5658	ERR1137399	PNP_5658	0
PNPM__5661	ERR1137187	PNP_5661	0
PNPM__5661	ERR1137400	PNP_5661	0
PNPM__5660	ERR1136924	PNP_5660	0
PNPM__5660	ERR1137188	PNP_5660	0
PNPM__5660	ERR1137236	PNP_5660	0
PNPM__5660	ERR1137708	PNP_5660	0
PNPM__5659	ERR1136925	PNP_5659	0
PNPM__5659	ERR1137401	PNP_5659	0
PNPM__5656	ERR1136926	PNP_5656	0
PNPM__5656	ERR1137402	PNP_5656	0
PNPM__5725	ERR1136927	PNP_5725	0
PNPM__5725	ERR1137403	PNP_5725	0
PNPM__5648	ERR1136928	PNP_5648	0
PNPM__5648	ERR1137404	PNP_5648	0
PNPM__5722	ERR1136929	PNP_5722	0
PNPM__5722	ERR1137405	PNP_5722	0
PNPM__5727	ERR1136930	PNP_5727	0
PNPM__5727	ERR1137406	PNP_5727	0
PNPM__5734	ERR1136931	PNP_5734	0
PNPM__5734	ERR1137407	PNP_5734	0
PNPM__5723	ERR1137189	PNP_5723	0
PNPM__5723	ERR1137408	PNP_5723	0
PNPM__5724	ERR1137190	PNP_5724	0
PNPM__5681	ERR1137191	PNP_5681	0
PNPM__5681	ERR1137409	PNP_5681	0
PNPM__5680	ERR1137192	PNP_5680	0
PNPM__5680	ERR1137604	PNP_5680	0
PNPM__5726	ERR1137193	PNP_5726	0
PNPM__5726	ERR1137410	PNP_5726	0
PNPM__5730	ERR1137194	PNP_5730	0
PNPM__5730	ERR1137411	PNP_5730	0
PNPM__5873	ERR1137195	PNP_5873	0
PNPM__5885	ERR1137196	PNP_5885	0
PNPM__5885	ERR1137412	PNP_5885	0
PNPM__5891	ERR1137197	PNP_5891	0
PNPM__5891	ERR1137413	PNP_5891	0
PNPM__5892	ERR1137198	PNP_5892	0
PNPM__5892	ERR1137414	PNP_5892	0
PNPM__5900	ERR1137199	PNP_5900	0
PNPM__5900	ERR1137415	PNP_5900	0
PNPM__5899	ERR1137200	PNP_5899	0
PNPM__5899	ERR1137416	PNP_5899	0
PNPM__5898	ERR1137201	PNP_5898	0
PNPM__5902	ERR1137202	PNP_5902	0
PNPM__5916	ERR1137203	PNP_5916	0
PNPM__5901	ERR1137204	PNP_5901	0
PNPM__5897	ERR1137205	PNP_5897	0
PNPM__5896	ERR1137206	PNP_5896	0
PNPM__5896	ERR1137417	PNP_5896	0
PNPM__5923	ERR1137207	PNP_5923	0
PNPM__5923	ERR1137418	PNP_5923	0
PNPM__5918	ERR1137208	PNP_5918	0
PNPM__5918	ERR1137419	PNP_5918	0
PNPM__5912	ERR1137209	PNP_5912	0
PNPM__5912	ERR1137420	PNP_5912	0
PNPM__5911	ERR1137210	PNP_5911	0
PNPM__5911	ERR1137421	PNP_5911	0
PNPM__5913	ERR1137211	PNP_5913	0
PNPM__5914	ERR1137212	PNP_5914	0
PNPM__5914	ERR1137605	PNP_5914	0
PNPM__5942	ERR1137213	PNP_5942	0
PNPM__5943	ERR1137214	PNP_5943	0
PNPM__5943	ERR1137422	PNP_5943	0
PNPM__5939	ERR1137215	PNP_5939	0
PNPM__5939	ERR1137423	PNP_5939	0
PNPM__5937	ERR1137216	PNP_5937	0
PNPM__5937	ERR1137275	PNP_5937	0
PNPM__5936	ERR1137217	PNP_5936	0
PNPM__5938	ERR1137218	PNP_5938	0
PNPM__5938	ERR1137276	PNP_5938	0
PNPM__5940	ERR1137219	PNP_5940	0
PNPM__5940	ERR1137277	PNP_5940	0
PNPM__5928	ERR1137220	PNP_5928	0
PNPM__5928	ERR1137278	PNP_5928	0
PNPM__5950	ERR1137221	PNP_5950	0
PNPM__5950	ERR1137279	PNP_5950	0
PNPM__5951	ERR1137222	PNP_5951	0
PNPM__5951	ERR1137280	PNP_5951	0
PNPM__5953	ERR1137223	PNP_5953	0
PNPM__5953	ERR1137281	PNP_5953	0
PNPM__5954	ERR1137224	PNP_5954	0
PNPM__5954	ERR1137237	PNP_5954	0
PNPM__5935	ERR1137225	PNP_5935	0
PNPM__5952	ERR1137226	PNP_5952	0
PNPM__5952	ERR1137424	PNP_5952	0
PNPM__5743	ERR1136932	PNP_5743	0
PNPM__5743	ERR1137075	PNP_5743	0
PNPM__5710	ERR1136933	PNP_5710	0
PNPM__5710	ERR1137076	PNP_5710	0
PNPM__5738	ERR1136934	PNP_5738	0
PNPM__5738	ERR1137077	PNP_5738	0
PNPM__5740	ERR1136935	PNP_5740	0
PNPM__5740	ERR1137078	PNP_5740	0
PNPM__5745	ERR1136936	PNP_5745	0
PNPM__5745	ERR1137079	PNP_5745	0
PNPM__5757	ERR1136937	PNP_5757	0
PNPM__5757	ERR1137080	PNP_5757	0
PNPM__5756	ERR1137081	PNP_5756	0
PNPM__5756	ERR1137425	PNP_5756	0
PNPM__5758	ERR1137082	PNP_5758	0
PNPM__5747	ERR1137083	PNP_5747	0
PNPM__5747	ERR1137369	PNP_5747	0
PNPM__5759	ERR1137084	PNP_5759	0
PNPM__5759	ERR1137370	PNP_5759	0
PNPM__5739	ERR1137085	PNP_5739	0
PNPM__5739	ERR1137371	PNP_5739	0
PNPM__5777	ERR1137086	PNP_5777	0
PNPM__5777	ERR1137372	PNP_5777	0
PNPM__5753	ERR1137087	PNP_5753	0
PNPM__5760	ERR1137088	PNP_5760	0
PNPM__5762	ERR1137089	PNP_5762	0
PNPM__5765	ERR1137090	PNP_5765	0
PNPM__5761	ERR1137091	PNP_5761	0
PNPM__5761	ERR1137329	PNP_5761	0
PNPM__5877	ERR1137092	PNP_5877	0
PNPM__5877	ERR1137426	PNP_5877	0
PNPM__5763	ERR1137093	PNP_5763	0
PNPM__5763	ERR1137427	PNP_5763	0
PNPM__5764	ERR1137094	PNP_5764	0
PNPM__5764	ERR1137428	PNP_5764	0
PNPM__5795	ERR1137095	PNP_5795	0
PNPM__5795	ERR1137330	PNP_5795	0
PNPM__5791	ERR1137096	PNP_5791	0
PNPM__5791	ERR1137331	PNP_5791	0
PNPM__5790	ERR1137097	PNP_5790	0
PNPM__5790	ERR1137429	PNP_5790	0
PNPM__5792	ERR1137098	PNP_5792	0
PNPM__5792	ERR1137332	PNP_5792	0
PNPM__5788	ERR1137099	PNP_5788	0
PNPM__5788	ERR1137333	PNP_5788	0
PNPM__5789	ERR1137100	PNP_5789	0
PNPM__5789	ERR1137334	PNP_5789	0
PNPM__5811	ERR1136602	PNP_5811	0
PNPM__5811	ERR1137101	PNP_5811	0
PNPM__5811	ERR1137606	PNP_5811	0
PNPM__5800	ERR1137102	PNP_5800	0
PNPM__5800	ERR1137430	PNP_5800	0
PNPM__5797	ERR1137103	PNP_5797	0
PNPM__5796	ERR1137104	PNP_5796	0
PNPM__5799	ERR1137105	PNP_5799	0
PNPM__5815	ERR1137106	PNP_5815	0
PNPM__5794	ERR1137107	PNP_5794	0
PNPM__5829	ERR1137108	PNP_5829	0
PNPM__5829	ERR1137282	PNP_5829	0
PNPM__5828	ERR1137109	PNP_5828	0
PNPM__5828	ERR1137283	PNP_5828	0
PNPM__5826	ERR1137110	PNP_5826	0
PNPM__5798	ERR1137111	PNP_5798	0
PNPM__5827	ERR1136603	PNP_5827	0
PNPM__5827	ERR1137112	PNP_5827	0
PNPM__5827	ERR1137709	PNP_5827	0
PNPM__5837	ERR1137113	PNP_5837	0
PNPM__5837	ERR1137284	PNP_5837	0
PNPM__5814	ERR1137114	PNP_5814	0
PNPM__5882	ERR1137115	PNP_5882	0
PNPM__5882	ERR1137285	PNP_5882	0
PNPM__5831	ERR1137116	PNP_5831	0
PNPM__5831	ERR1137286	PNP_5831	0
PNPM__5818	ERR1137117	PNP_5818	0
PNPM__5845	ERR1137118	PNP_5845	0
PNPM__5832	ERR1137119	PNP_5832	0
PNPM__5841	ERR1137120	PNP_5841	0
PNPM__5841	ERR1137287	PNP_5841	0
PNPM__5830	ERR1137121	PNP_5830	0
PNPM__5843	ERR1137122	PNP_5843	0
PNPM__5840	ERR1137123	PNP_5840	0
PNPM__5840	ERR1137288	PNP_5840	0
PNPM__5844	ERR1137124	PNP_5844	0
PNPM__5884	ERR1137125	PNP_5884	0
PNPM__5878	ERR1137126	PNP_5878	0
PNPM__5878	ERR1137289	PNP_5878	0
PNPM__5879	ERR1137127	PNP_5879	0
PNPM__5879	ERR1137290	PNP_5879	0
PNPM__5842	ERR1137128	PNP_5842	0
PNPM__5842	ERR1137291	PNP_5842	0
PNPM__5876	ERR1137129	PNP_5876	0
PNPM__5876	ERR1137292	PNP_5876	0
PNPM__5881	ERR1137130	PNP_5881	0
PNPM__5881	ERR1137293	PNP_5881	0
PNPM__5883	ERR1137131	PNP_5883	0
PNPM__5883	ERR1137294	PNP_5883	0
