plate	media	time	Variable	condition	strainID	species	replicate	OD_adjusted
P1	WCA	5	A8	without_mucin	DSM13479	Hungatella hathewayi	1	0.01
P1	WCA	5	B3	without_mucin	DSM26961	Eisenbergiella tayi	2	0.014
P1	WCA	5	B8	without_mucin	DSM13479	Hungatella hathewayi	2	0.01
P1	WCA	5	C3	without_mucin	DSM26961	Eisenbergiella tayi	3	0.015
P1	WCA	5	C8	without_mucin	DSM13479	Hungatella hathewayi	3	0.01
P1	WCA	5	E3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	1	0.022
P1	WCA	5	E6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	1	0.034
P1	WCA	5	F3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	2	0.033
P1	WCA	5	F6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	2	0.057
P1	WCA	5	G3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	3	0.036
P1	WCA	5	G6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	3	0.049
P1	WCA	6	A3	without_mucin	DSM26961	Eisenbergiella tayi	1	0.018
P1	WCA	6	A8	without_mucin	DSM13479	Hungatella hathewayi	1	0.01
P1	WCA	6	B3	without_mucin	DSM26961	Eisenbergiella tayi	2	0.018
P1	WCA	6	B8	without_mucin	DSM13479	Hungatella hathewayi	2	0.01
P1	WCA	6	C3	without_mucin	DSM26961	Eisenbergiella tayi	3	0.019
P1	WCA	6	C8	without_mucin	DSM13479	Hungatella hathewayi	3	0.01
P1	WCA	6	E3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	1	0.031
P1	WCA	6	E6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	1	0.042
P1	WCA	6	F3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	2	0.041
P1	WCA	6	F6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	2	0.064
P1	WCA	6	G3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	3	0.05
P1	WCA	6	G6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	3	0.057
P1	WCA	7	A3	without_mucin	DSM26961	Eisenbergiella tayi	1	0.021
P1	WCA	7	A8	without_mucin	DSM13479	Hungatella hathewayi	1	0.011
P1	WCA	7	B3	without_mucin	DSM26961	Eisenbergiella tayi	2	0.021
P1	WCA	7	B8	without_mucin	DSM13479	Hungatella hathewayi	2	0.01
P1	WCA	7	C3	without_mucin	DSM26961	Eisenbergiella tayi	3	0.022
P1	WCA	7	C8	without_mucin	DSM13479	Hungatella hathewayi	3	0.012
P1	WCA	7	E3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	1	0.039
P1	WCA	7	E6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	1	0.05
P1	WCA	7	F3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	2	0.049
P1	WCA	7	F6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	2	0.071
P1	WCA	7	G3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	3	0.061
P1	WCA	7	G6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	3	0.063
P1	WCA	8	A3	without_mucin	DSM26961	Eisenbergiella tayi	1	0.024
P1	WCA	8	A8	without_mucin	DSM13479	Hungatella hathewayi	1	0.013
P1	WCA	8	B3	without_mucin	DSM26961	Eisenbergiella tayi	2	0.024
P1	WCA	8	B8	without_mucin	DSM13479	Hungatella hathewayi	2	0.01
P1	WCA	8	C3	without_mucin	DSM26961	Eisenbergiella tayi	3	0.024
P1	WCA	8	C8	without_mucin	DSM13479	Hungatella hathewayi	3	0.014
P1	WCA	8	E3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	1	0.05
P1	WCA	8	E6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	1	0.058
P1	WCA	8	F3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	2	0.06
P1	WCA	8	F6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	2	0.08
P1	WCA	8	G3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	3	0.076
P1	WCA	8	G6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	3	0.073
P1	WCA	9	A3	without_mucin	DSM26961	Eisenbergiella tayi	1	0.026
P1	WCA	9	A8	without_mucin	DSM13479	Hungatella hathewayi	1	0.015
P1	WCA	9	B3	without_mucin	DSM26961	Eisenbergiella tayi	2	0.026
P1	WCA	9	B8	without_mucin	DSM13479	Hungatella hathewayi	2	0.01
P1	WCA	9	C3	without_mucin	DSM26961	Eisenbergiella tayi	3	0.026
P1	WCA	9	C8	without_mucin	DSM13479	Hungatella hathewayi	3	0.017
P1	WCA	9	E3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	1	0.067
P1	WCA	9	E6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	1	0.066
P1	WCA	9	F3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	2	0.071
P1	WCA	9	F6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	2	0.086
P1	WCA	9	G3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	3	0.089
P1	WCA	9	G6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	3	0.081
P1	WCA	10	A3	without_mucin	DSM26961	Eisenbergiella tayi	1	0.028
P1	WCA	10	A8	without_mucin	DSM13479	Hungatella hathewayi	1	0.016
P1	WCA	10	B3	without_mucin	DSM26961	Eisenbergiella tayi	2	0.029
P1	WCA	10	B8	without_mucin	DSM13479	Hungatella hathewayi	2	0.01
P1	WCA	10	C3	without_mucin	DSM26961	Eisenbergiella tayi	3	0.026
P1	WCA	10	C8	without_mucin	DSM13479	Hungatella hathewayi	3	0.018
P1	WCA	10	E3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	1	0.088
P1	WCA	10	E6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	1	0.076
P1	WCA	10	F3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	2	0.079
P1	WCA	10	F6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	2	0.097
P1	WCA	10	G3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	3	0.103
P1	WCA	10	G6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	3	0.093
P1	WCA	11	A3	without_mucin	DSM26961	Eisenbergiella tayi	1	0.029
P1	WCA	11	A8	without_mucin	DSM13479	Hungatella hathewayi	1	0.018
P1	WCA	11	B3	without_mucin	DSM26961	Eisenbergiella tayi	2	0.031
P1	WCA	11	B8	without_mucin	DSM13479	Hungatella hathewayi	2	0.01
P1	WCA	11	C3	without_mucin	DSM26961	Eisenbergiella tayi	3	0.026
P1	WCA	11	C8	without_mucin	DSM13479	Hungatella hathewayi	3	0.019
P1	WCA	11	E3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	1	0.107
P1	WCA	11	E6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	1	0.087
P1	WCA	11	F3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	2	0.088
P1	WCA	11	F6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	2	0.107
P1	WCA	11	G3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	3	0.113
P1	WCA	11	G6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	3	0.098
P1	WCA	12	A3	without_mucin	DSM26961	Eisenbergiella tayi	1	0.031
P1	WCA	12	A8	without_mucin	DSM13479	Hungatella hathewayi	1	0.02
P1	WCA	12	B3	without_mucin	DSM26961	Eisenbergiella tayi	2	0.032
P1	WCA	12	B8	without_mucin	DSM13479	Hungatella hathewayi	2	0.01
P1	WCA	12	C3	without_mucin	DSM26961	Eisenbergiella tayi	3	0.028
P1	WCA	12	C8	without_mucin	DSM13479	Hungatella hathewayi	3	0.019
P1	WCA	12	E3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	1	0.124
P1	WCA	12	E6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	1	0.1
P1	WCA	12	F3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	2	0.099
P1	WCA	12	F6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	2	0.119
P1	WCA	12	G3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	3	0.122
P1	WCA	12	G6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	3	0.104
P1	WCA	13	A3	without_mucin	DSM26961	Eisenbergiella tayi	1	0.033
P1	WCA	13	A8	without_mucin	DSM13479	Hungatella hathewayi	1	0.021
P1	WCA	13	B3	without_mucin	DSM26961	Eisenbergiella tayi	2	0.036
P1	WCA	13	B8	without_mucin	DSM13479	Hungatella hathewayi	2	0.01
P1	WCA	13	C3	without_mucin	DSM26961	Eisenbergiella tayi	3	0.03
P1	WCA	13	C8	without_mucin	DSM13479	Hungatella hathewayi	3	0.02
P1	WCA	13	E3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	1	0.137
P1	WCA	13	E6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	1	0.115
P1	WCA	13	F3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	2	0.115
P1	WCA	13	F6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	2	0.136
P1	WCA	13	G3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	3	0.127
P1	WCA	13	G6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	3	0.112
P1	WCA	14	A3	without_mucin	DSM26961	Eisenbergiella tayi	1	0.037
P1	WCA	14	A8	without_mucin	DSM13479	Hungatella hathewayi	1	0.022
P1	WCA	14	B3	without_mucin	DSM26961	Eisenbergiella tayi	2	0.038
P1	WCA	14	B8	without_mucin	DSM13479	Hungatella hathewayi	2	0.01
P1	WCA	14	C3	without_mucin	DSM26961	Eisenbergiella tayi	3	0.036
P1	WCA	14	C8	without_mucin	DSM13479	Hungatella hathewayi	3	0.02
P1	WCA	14	E3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	1	0.157
P1	WCA	14	E6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	1	0.141
