plate	media	time	Variable	condition	strainID	species	replicate	OD_adjusted
P1	WCA	25	A8	without_mucin	DSM13479	Hungatella hathewayi	1	0.45
P1	WCA	25	B3	without_mucin	DSM26961	Eisenbergiella tayi	2	0.182
P1	WCA	25	B8	without_mucin	DSM13479	Hungatella hathewayi	2	0.306
P1	WCA	25	C3	without_mucin	DSM26961	Eisenbergiella tayi	3	0.131
P1	WCA	25	C8	without_mucin	DSM13479	Hungatella hathewayi	3	0.415
P1	WCA	25	E3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	1	0.15
P1	WCA	25	E6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	1	0.437
P1	WCA	25	F3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	2	0.589
P1	WCA	25	F6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	2	0.326
P1	WCA	25	G3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	3	0.506
P1	WCA	25	G6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	3	0.563
P1	WCA	26	A3	without_mucin	DSM26961	Eisenbergiella tayi	1	0.107
P1	WCA	26	A8	without_mucin	DSM13479	Hungatella hathewayi	1	0.565
P1	WCA	26	B3	without_mucin	DSM26961	Eisenbergiella tayi	2	0.184
P1	WCA	26	B8	without_mucin	DSM13479	Hungatella hathewayi	2	0.401
P1	WCA	26	C3	without_mucin	DSM26961	Eisenbergiella tayi	3	0.181
P1	WCA	26	C8	without_mucin	DSM13479	Hungatella hathewayi	3	0.538
P1	WCA	26	E3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	1	0.338
P1	WCA	26	E6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	1	0.486
P1	WCA	26	F3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	2	0.653
P1	WCA	26	F6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	2	0.398
P1	WCA	26	G3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	3	0.56
P1	WCA	26	G6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	3	0.66
P1	WCA	27	A3	without_mucin	DSM26961	Eisenbergiella tayi	1	0.141
P1	WCA	27	A8	without_mucin	DSM13479	Hungatella hathewayi	1	0.651
P1	WCA	27	B3	without_mucin	DSM26961	Eisenbergiella tayi	2	0.243
P1	WCA	27	B8	without_mucin	DSM13479	Hungatella hathewayi	2	0.49
P1	WCA	27	C3	without_mucin	DSM26961	Eisenbergiella tayi	3	0.17
P1	WCA	27	C8	without_mucin	DSM13479	Hungatella hathewayi	3	0.618
P1	WCA	27	E3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	1	0.648
P1	WCA	27	E6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	1	0.767
P1	WCA	27	F3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	2	0.748
P1	WCA	27	F6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	2	0.568
P1	WCA	27	G3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	3	0.662
P1	WCA	27	G6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	3	0.845
P1	WCA	28	A3	without_mucin	DSM26961	Eisenbergiella tayi	1	0.191
P1	WCA	28	A8	without_mucin	DSM13479	Hungatella hathewayi	1	0.75
P1	WCA	28	B3	without_mucin	DSM26961	Eisenbergiella tayi	2	0.385
P1	WCA	28	B8	without_mucin	DSM13479	Hungatella hathewayi	2	0.626
P1	WCA	28	C3	without_mucin	DSM26961	Eisenbergiella tayi	3	0.211
P1	WCA	28	C8	without_mucin	DSM13479	Hungatella hathewayi	3	0.682
P1	WCA	28	E3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	1	0.736
P1	WCA	28	E6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	1	0.894
P1	WCA	28	F3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	2	0.804
P1	WCA	28	F6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	2	0.685
P1	WCA	28	G3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	3	0.739
P1	WCA	28	G6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	3	0.938
P1	WCA	29	A3	without_mucin	DSM26961	Eisenbergiella tayi	1	0.199
P1	WCA	29	A8	without_mucin	DSM13479	Hungatella hathewayi	1	0.852
P1	WCA	29	B3	without_mucin	DSM26961	Eisenbergiella tayi	2	0.305
P1	WCA	29	B8	without_mucin	DSM13479	Hungatella hathewayi	2	0.735
P1	WCA	29	C3	without_mucin	DSM26961	Eisenbergiella tayi	3	0.265
P1	WCA	29	C8	without_mucin	DSM13479	Hungatella hathewayi	3	0.74
P1	WCA	29	E3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	1	0.845
P1	WCA	29	E6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	1	0.92
P1	WCA	29	F3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	2	0.879
P1	WCA	29	F6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	2	0.756
P1	WCA	29	G3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	3	0.822
P1	WCA	29	G6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	3	0.983
P1	WCA	30	A3	without_mucin	DSM26961	Eisenbergiella tayi	1	0.279
P1	WCA	30	A8	without_mucin	DSM13479	Hungatella hathewayi	1	0.95
P1	WCA	30	B3	without_mucin	DSM26961	Eisenbergiella tayi	2	0.572
P1	WCA	30	B8	without_mucin	DSM13479	Hungatella hathewayi	2	0.83
P1	WCA	30	C3	without_mucin	DSM26961	Eisenbergiella tayi	3	0.316
P1	WCA	30	C8	without_mucin	DSM13479	Hungatella hathewayi	3	0.786
P1	WCA	30	E3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	1	0.769
P1	WCA	30	E6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	1	0.856
P1	WCA	30	F3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	2	0.952
P1	WCA	30	F6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	2	0.815
P1	WCA	30	G3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	3	0.863
P1	WCA	30	G6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	3	0.98
P1	WCA	31	A3	without_mucin	DSM26961	Eisenbergiella tayi	1	0.473
P1	WCA	31	A8	without_mucin	DSM13479	Hungatella hathewayi	1	1.013
P1	WCA	31	B3	without_mucin	DSM26961	Eisenbergiella tayi	2	0.889
P1	WCA	31	B8	without_mucin	DSM13479	Hungatella hathewayi	2	0.849
P1	WCA	31	C3	without_mucin	DSM26961	Eisenbergiella tayi	3	0.306
P1	WCA	31	C8	without_mucin	DSM13479	Hungatella hathewayi	3	0.827
P1	WCA	31	E3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	1	1.036
P1	WCA	31	E6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	1	0.882
P1	WCA	31	F3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	2	0.821
P1	WCA	31	F6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	2	0.785
P1	WCA	31	G3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	3	0.862
P1	WCA	31	G6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	3	0.988
P1	WCA	32	A3	without_mucin	DSM26961	Eisenbergiella tayi	1	0.262
P1	WCA	32	A8	without_mucin	DSM13479	Hungatella hathewayi	1	1.044
P1	WCA	32	B3	without_mucin	DSM26961	Eisenbergiella tayi	2	0.925
P1	WCA	32	B8	without_mucin	DSM13479	Hungatella hathewayi	2	0.855
P1	WCA	32	C3	without_mucin	DSM26961	Eisenbergiella tayi	3	0.678
P1	WCA	32	C8	without_mucin	DSM13479	Hungatella hathewayi	3	0.858
P1	WCA	32	E3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	1	0.781
P1	WCA	32	E6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	1	0.828
P1	WCA	32	F3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	2	0.992
P1	WCA	32	F6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	2	0.829
P1	WCA	32	G3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	3	1.015
P1	WCA	32	G6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	3	0.914
P1	WCA	33	A3	without_mucin	DSM26961	Eisenbergiella tayi	1	0.734
P1	WCA	33	A8	without_mucin	DSM13479	Hungatella hathewayi	1	1.048
P1	WCA	33	B3	without_mucin	DSM26961	Eisenbergiella tayi	2	0.88
P1	WCA	33	B8	without_mucin	DSM13479	Hungatella hathewayi	2	0.877
P1	WCA	33	C3	without_mucin	DSM26961	Eisenbergiella tayi	3	0.836
P1	WCA	33	C8	without_mucin	DSM13479	Hungatella hathewayi	3	0.886
P1	WCA	33	E3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	1	0.999
P1	WCA	33	E6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	1	0.854
P1	WCA	33	F3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	2	1.031
P1	WCA	33	F6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	2	0.851
P1	WCA	33	G3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	3	1.089
P1	WCA	33	G6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	3	0.881
P1	WCA	34	A3	without_mucin	DSM26961	Eisenbergiella tayi	1	0.777
P1	WCA	34	A8	without_mucin	DSM13479	Hungatella hathewayi	1	1.056
P1	WCA	34	B3	without_mucin	DSM26961	Eisenbergiella tayi	2	0.808
P1	WCA	34	B8	without_mucin	DSM13479	Hungatella hathewayi	2	0.885
P1	WCA	34	C3	without_mucin	DSM26961	Eisenbergiella tayi	3	0.853
P1	WCA	34	C8	without_mucin	DSM13479	Hungatella hathewayi	3	0.908
P1	WCA	34	E3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	1	0.971
P1	WCA	34	E6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	1	0.867
P1	WCA	34	F3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	2	1.072
P1	WCA	34	F6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	2	0.679
P1	WCA	34	G3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	3	1.111
P1	WCA	34	G6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	3	0.907
P1	WCA	35	A3	without_mucin	DSM26961	Eisenbergiella tayi	1	0.786
P1	WCA	35	A8	without_mucin	DSM13479	Hungatella hathewayi	1	1.061
P1	WCA	35	B3	without_mucin	DSM26961	Eisenbergiella tayi	2	0.949
P1	WCA	35	B8	without_mucin	DSM13479	Hungatella hathewayi	2	0.901
P1	WCA	35	C3	without_mucin	DSM26961	Eisenbergiella tayi	3	0.842
P1	WCA	35	C8	without_mucin	DSM13479	Hungatella hathewayi	3	0.918
P1	WCA	35	E3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	1	0.955
P1	WCA	35	E6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	1	0.901
P1	WCA	35	F3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	2	1.095
P1	WCA	35	F6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	2	0.691
P1	WCA	35	G3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	3	1.105
P1	WCA	35	G6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	3	0.926
P1	WCA	36	A3	without_mucin	DSM26961	Eisenbergiella tayi	1	0.905
P1	WCA	36	A8	without_mucin	DSM13479	Hungatella hathewayi	1	1.065
P1	WCA	36	B3	without_mucin	DSM26961	Eisenbergiella tayi	2	1.029
P1	WCA	36	B8	without_mucin	DSM13479	Hungatella hathewayi	2	0.928
P1	WCA	36	C3	without_mucin	DSM26961	Eisenbergiella tayi	3	0.954
P1	WCA	36	C8	without_mucin	DSM13479	Hungatella hathewayi	3	0.928
P1	WCA	36	E3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	1	0.968
P1	WCA	36	E6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	1	0.966
P1	WCA	36	F3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	2	1.121
P1	WCA	36	F6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	2	0.735
P1	WCA	36	G3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	3	1.109
P1	WCA	36	G6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	3	0.96
P1	WCA	37	A3	without_mucin	DSM26961	Eisenbergiella tayi	1	1.025
P1	WCA	37	A8	without_mucin	DSM13479	Hungatella hathewayi	1	1.082
P1	WCA	37	B3	without_mucin	DSM26961	Eisenbergiella tayi	2	1.038
P1	WCA	37	B8	without_mucin	DSM13479	Hungatella hathewayi	2	0.952
P1	WCA	37	C3	without_mucin	DSM26961	Eisenbergiella tayi	3	0.976
P1	WCA	37	C8	without_mucin	DSM13479	Hungatella hathewayi	3	0.947
P1	WCA	37	E3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	1	1.088
P1	WCA	37	E6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	1	0.986
P1	WCA	37	F3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	2	1.114
P1	WCA	37	F6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	2	0.783
P1	WCA	37	G3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	3	1.056
P1	WCA	37	G6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	3	1.007
P1	WCA	38	A3	without_mucin	DSM26961	Eisenbergiella tayi	1	1.074
P1	WCA	38	A8	without_mucin	DSM13479	Hungatella hathewayi	1	1.102
P1	WCA	38	B3	without_mucin	DSM26961	Eisenbergiella tayi	2	1.019
P1	WCA	38	B8	without_mucin	DSM13479	Hungatella hathewayi	2	0.986
P1	WCA	38	C3	without_mucin	DSM26961	Eisenbergiella tayi	3	0.998
P1	WCA	38	C8	without_mucin	DSM13479	Hungatella hathewayi	3	0.951
P1	WCA	38	E3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	1	1.112
P1	WCA	38	E6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	1	1.004
P1	WCA	38	F3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	2	1.116
P1	WCA	38	F6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	2	0.839
P1	WCA	38	G3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	3	1.059
P1	WCA	38	G6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	3	1.042
P1	WCA	39	A3	without_mucin	DSM26961	Eisenbergiella tayi	1	1.128
P1	WCA	39	A8	without_mucin	DSM13479	Hungatella hathewayi	1	1.134
P1	WCA	39	B3	without_mucin	DSM26961	Eisenbergiella tayi	2	0.999
P1	WCA	39	B8	without_mucin	DSM13479	Hungatella hathewayi	2	1.028
P1	WCA	39	C3	without_mucin	DSM26961	Eisenbergiella tayi	3	0.886
P1	WCA	39	C8	without_mucin	DSM13479	Hungatella hathewayi	3	0.967
P1	WCA	39	E3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	1	1.088
P1	WCA	39	E6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	1	1.05
P1	WCA	39	F3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	2	1.108
P1	WCA	39	F6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	2	0.898
P1	WCA	39	G3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	3	1.07
P1	WCA	39	G6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	3	1.083
P1	WCA	40	A3	without_mucin	DSM26961	Eisenbergiella tayi	1	0.699
P1	WCA	40	A8	without_mucin	DSM13479	Hungatella hathewayi	1	1.159
P1	WCA	40	B3	without_mucin	DSM26961	Eisenbergiella tayi	2	0.973
P1	WCA	40	B8	without_mucin	DSM13479	Hungatella hathewayi	2	1.048
P1	WCA	40	C3	without_mucin	DSM26961	Eisenbergiella tayi	3	0.906
P1	WCA	40	C8	without_mucin	DSM13479	Hungatella hathewayi	3	0.969
P1	WCA	40	E3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	1	1.159
P1	WCA	40	E6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	1	1.093
P1	WCA	40	F3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	2	1.074
P1	WCA	40	F6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	2	0.947
P1	WCA	40	G3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	3	1.042
P1	WCA	40	G6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	3	1.142
P1	WCA	41	A3	without_mucin	DSM26961	Eisenbergiella tayi	1	0.715
P1	WCA	41	A8	without_mucin	DSM13479	Hungatella hathewayi	1	1.195
P1	WCA	41	B3	without_mucin	DSM26961	Eisenbergiella tayi	2	1.045
P1	WCA	41	B8	without_mucin	DSM13479	Hungatella hathewayi	2	1.087
P1	WCA	41	C3	without_mucin	DSM26961	Eisenbergiella tayi	3	1.026
P1	WCA	41	C8	without_mucin	DSM13479	Hungatella hathewayi	3	0.981
P1	WCA	41	E3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	1	1.156
P1	WCA	41	E6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	1	1.161
P1	WCA	41	F3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	2	1.042
P1	WCA	41	F6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	2	0.97
P1	WCA	41	G3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	3	1.001
P1	WCA	41	G6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	3	1.157
P1	WCA	42	A3	without_mucin	DSM26961	Eisenbergiella tayi	1	0.738
P1	WCA	42	A8	without_mucin	DSM13479	Hungatella hathewayi	1	1.224
P1	WCA	42	B3	without_mucin	DSM26961	Eisenbergiella tayi	2	0.987
P1	WCA	42	B8	without_mucin	DSM13479	Hungatella hathewayi	2	1.12
P1	WCA	42	C3	without_mucin	DSM26961	Eisenbergiella tayi	3	0.759
P1	WCA	42	C8	without_mucin	DSM13479	Hungatella hathewayi	3	0.986
P1	WCA	42	E3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	1	1.013
P1	WCA	42	E6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	1	1.174
P1	WCA	42	F3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	2	0.968
P1	WCA	42	F6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	2	0.996
P1	WCA	42	G3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	3	1.035
P1	WCA	42	G6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	3	1.191
