sampleID	genus	relAb	Income status
A94_01_1FE	g__Bacteroides	9.075508228460794e-4	LMIS
A94_02_1FE	g__Bacteroides	0.00492440005548619	LMIS
A94_03_1FE	g__Bacteroides	0.014152055979243645	LMIS
A95_01_1FE	g__Bacteroides	4.858074814352141e-4	LMIS
BGI-06A	g__Bacteroides	0.4583333333333333	HIS
BGI-15A	g__Bacteroides	0.37436955524988536	HIS
BGI-17A	g__Bacteroides	0.21264108352144465	HIS
BGI-27A	g__Bacteroides	0.5408792903972233	HIS
BGI-28A	g__Bacteroides	0.303030303030303	HIS
BGI-33A	g__Bacteroides	0.07966747488742636	HIS
BGI-34A	g__Bacteroides	0.43979591836734694	HIS
BGI001A	g__Bacteroides	0.05259348612786485	HIS
BGI002A	g__Bacteroides	0.12100986651189778	HIS
BGI003A	g__Bacteroides	0.4470578980490874	HIS
BGI089A	g__Bacteroides	0.4704443139557643	HIS
C16-20002-TZ	g__Bacteroides	0.05880493202655703	LMIS
C16-20003-TZ	g__Bacteroides	0.0063994204298478624	LMIS
C16-20005-GH	g__Bacteroides	2.6229508196721314e-4	LMIS
C16-20005-TZ	g__Bacteroides	0.01824310926036089	LMIS
C16-20006-GH	g__Bacteroides	0.00837634317624162	LMIS
C16-20009-GH	g__Bacteroides	5.172413793103447e-4	LMIS
C16-20010-GH	g__Bacteroides	0.005985319028797283	LMIS
C16-20029-GH	g__Bacteroides	0.005261489698890645	LMIS
C16-20030-GH	g__Bacteroides	0.003294892915980222	LMIS
C16-20047-GH	g__Bacteroides	0.031411642998213085	LMIS
C16-20048-GH	g__Bacteroides	0.04928566972362589	LMIS
C16-20065-GH	g__Bacteroides	0.0027066651629637944	LMIS
C16-20066-GH	g__Bacteroides	0.6427086751996499	LMIS
C16-20070-TZ	g__Bacteroides	0.006153057300346101	LMIS
C16-20071-TZ	g__Bacteroides	0.024418604651162787	LMIS
C16-20108-GH	g__Bacteroides	0.0033549783549783455	LMIS
C16-20117-TZ	g__Bacteroides	0.43635589612601106	LMIS
C16-20118-TZ	g__Bacteroides	0.004550773631517342	LMIS
C16-20124-GH	g__Bacteroides	0.029606544604596767	LMIS
C16-20125-GH	g__Bacteroides	0.11283914178680891	LMIS
C16-20152-TZ	g__Bacteroides	0.028712713351411685	LMIS
C16-20153-TZ	g__Bacteroides	0.044025157232704365	LMIS
C16-20197-TZ	g__Bacteroides	0.01974486966167497	LMIS
C16-20211-TZ	g__Bacteroides	0.00827720522600016	LMIS
C16-20212-TZ	g__Bacteroides	0.020306647940074887	LMIS
C16-20215-TZ	g__Bacteroides	0.03007866728366494	LMIS
C16-20237-TZ	g__Bacteroides	0.016240298936475987	LMIS
C16-20238-TZ	g__Bacteroides	0.016938519447929734	LMIS
C16-20241-GH	g__Bacteroides	5.767012687427912e-5	LMIS
C16-20242-GH	g__Bacteroides	0.0024848836246169135	LMIS
C16-20246-TZ	g__Bacteroides	0.1283379187570804	LMIS
C16-20248-TZ	g__Bacteroides	0.13756859826992832	LMIS
C16-20273-GH	g__Bacteroides	0.0031654676258992807	LMIS
C16-20274-GH	g__Bacteroides	0.04405602777445227	LMIS
C16-20288-GH	g__Bacteroides	0.19829222011385195	LMIS
C16-20292-GH	g__Bacteroides	0.00944159697868896	LMIS
C16-20340-TZ	g__Bacteroides	0.19771906052393856	LMIS
C16-20345-TZ	g__Bacteroides	0.22684637818239137	LMIS
C16-20346-TZ	g__Bacteroides	0.0038339358089604556	LMIS
C16-20362-GH	g__Bacteroides	0.012929236757959109	LMIS
C16-20363-GH	g__Bacteroides	0.0024710424710424677	LMIS
C16-20371-TZ	g__Bacteroides	0.0030037151213342795	LMIS
C16-20374-GH	g__Bacteroides	0.0149422400803616	LMIS
C16-20375-GH	g__Bacteroides	0.45913137307796054	LMIS
C16-20415-TZ	g__Bacteroides	0.02492467817036428	LMIS
C16-20416-TZ	g__Bacteroides	0.0035396069815696327	LMIS
C16-20437-TZ	g__Bacteroides	0.016250820748522632	LMIS
C16-20438-TZ	g__Bacteroides	0.029446523537522133	LMIS
C16-20470-TZ	g__Bacteroides	0.0012658227848101264	LMIS
C16-20471-TZ	g__Bacteroides	0.12719707905239025	LMIS
C16-20473-TZ	g__Bacteroides	0.09923605216451886	LMIS
C16-20491-TZ	g__Bacteroides	7.446016381236039e-4	LMIS
C16-20554-TZ	g__Bacteroides	0.06903485254691685	LMIS
C16-20558-TZ	g__Bacteroides	0.026000288892098787	LMIS
C16-20625-TZ	g__Bacteroides	0.002322988292139003	LMIS
C16-20626-TZ	g__Bacteroides	0.00425590334980779	LMIS
C16-20627-TZ	g__Bacteroides	0.10257309941520468	LMIS
C16-20645-TZ	g__Bacteroides	0.039312358092766765	LMIS
C16-20646-TZ	g__Bacteroides	6.530399007379351e-4	LMIS
CM_A01_M0_18	g__Bacteroides	0.02232289950576604	LMIS
CM_A04_M0_18	g__Bacteroides	0.0031033223804308096	LMIS
CM_A06_M0_18	g__Bacteroides	0.00874125874125874	LMIS
CM_D02_M0_18	g__Bacteroides	0.015297202797202787	LMIS
CM_D03_M0_18	g__Bacteroides	0.03729059278350515	LMIS
CM_D04_M0_18	g__Bacteroides	0.009460348798947006	LMIS
CM_D05_M0_18	g__Bacteroides	0.06065082330451403	LMIS
CM_D06_M0_18	g__Bacteroides	0.0048506897074427685	LMIS
CM_D07_M0_18	g__Bacteroides	0.004212825713839897	LMIS
CM_D08_M0_18	g__Bacteroides	0.007718696397941671	LMIS
CM_D09_M0_18	g__Bacteroides	0.0020898641588296763	LMIS
CM_D10_M0_18	g__Bacteroides	0.016307513104251586	LMIS
CM_D11_M0_18	g__Bacteroides	0.008586679043861678	LMIS
CM_D13_M0_18	g__Bacteroides	0.012179003021148008	LMIS
