media,condition,species,g,plate,time,strainID,strain,well,time_h,batch,OD,replicate,medium_batch
WCA,Without mucin,A. muciniphila,G3P3,P3,15,DSM22959,"A. muciniphila
(DSM22959)",G3,15,1,0.20199999999999999,3,WCA
WCA,Without mucin,A. muciniphila,G3P3,P3,16,DSM22959,"A. muciniphila
(DSM22959)",G3,16,1,0.255,3,WCA
WCA,Without mucin,A. muciniphila,G3P3,P3,17,DSM22959,"A. muciniphila
(DSM22959)",G3,17,1,0.317,3,WCA
WCA,Without mucin,A. muciniphila,G3P3,P3,18,DSM22959,"A. muciniphila
(DSM22959)",G3,18,1,0.384,3,WCA
WCA,Without mucin,A. muciniphila,G3P3,P3,19,DSM22959,"A. muciniphila
(DSM22959)",G3,19,1,0.454,3,WCA
WCA,Without mucin,A. muciniphila,G3P3,P3,20,DSM22959,"A. muciniphila
(DSM22959)",G3,20,1,0.523,3,WCA
WCA,Without mucin,A. muciniphila,G3P3,P3,21,DSM22959,"A. muciniphila
(DSM22959)",G3,21,1,0.594,3,WCA
WCA,Without mucin,A. muciniphila,G3P3,P3,22,DSM22959,"A. muciniphila
(DSM22959)",G3,22,1,0.65,3,WCA
WCA,Without mucin,A. muciniphila,G3P3,P3,23,DSM22959,"A. muciniphila
(DSM22959)",G3,23,1,0.703,3,WCA
WCA,Without mucin,A. muciniphila,G3P3,P3,24,DSM22959,"A. muciniphila
(DSM22959)",G3,24,1,0.746,3,WCA
WCA,Without mucin,A. muciniphila,G3P3,P3,25,DSM22959,"A. muciniphila
(DSM22959)",G3,25,1,0.773,3,WCA
WCA,Without mucin,A. muciniphila,G3P3,P3,26,DSM22959,"A. muciniphila
(DSM22959)",G3,26,1,0.792,3,WCA
WCA,Without mucin,A. muciniphila,G3P3,P3,27,DSM22959,"A. muciniphila
(DSM22959)",G3,27,1,0.7999999999999999,3,WCA
WCA,Without mucin,A. muciniphila,G3P3,P3,28,DSM22959,"A. muciniphila
(DSM22959)",G3,28,1,0.7969999999999998,3,WCA
WCA,Without mucin,A. muciniphila,G3P3,P3,29,DSM22959,"A. muciniphila
(DSM22959)",G3,29,1,0.785,3,WCA
WCA,Without mucin,A. muciniphila,G3P3,P3,30,DSM22959,"A. muciniphila
(DSM22959)",G3,30,1,0.778,3,WCA
mGAM,With mucin,A. muciniphila,G7P1,P1,0.5,DSM22959,"A. muciniphila
(DSM22959)",G7,0.5,1,0,1,mGAM
mGAM,With mucin,A. muciniphila,G7P1,P1,1,DSM22959,"A. muciniphila
(DSM22959)",G7,1,1,0,1,mGAM
mGAM,With mucin,A. muciniphila,G7P1,P1,2,DSM22959,"A. muciniphila
(DSM22959)",G7,2,1,0.01199999999999997,1,mGAM
mGAM,With mucin,A. muciniphila,G7P1,P1,3,DSM22959,"A. muciniphila
(DSM22959)",G7,3,1,0.038,1,mGAM
mGAM,With mucin,A. muciniphila,G7P1,P1,4,DSM22959,"A. muciniphila
(DSM22959)",G7,4,1,0.05800000000000002,1,mGAM
mGAM,With mucin,A. muciniphila,G7P1,P1,5,DSM22959,"A. muciniphila
(DSM22959)",G7,5,1,0.08399999999999999,1,mGAM
mGAM,With mucin,A. muciniphila,G7P1,P1,6,DSM22959,"A. muciniphila
(DSM22959)",G7,6,1,0.10500000000000001,1,mGAM
mGAM,With mucin,A. muciniphila,G7P1,P1,7,DSM22959,"A. muciniphila
(DSM22959)",G7,7,1,0.127,1,mGAM
mGAM,With mucin,A. muciniphila,G7P1,P1,8,DSM22959,"A. muciniphila
(DSM22959)",G7,8,1,0.13799999999999998,1,mGAM
mGAM,With mucin,A. muciniphila,G7P1,P1,9,DSM22959,"A. muciniphila
(DSM22959)",G7,9,1,0.155,1,mGAM
mGAM,With mucin,A. muciniphila,G7P1,P1,10,DSM22959,"A. muciniphila
(DSM22959)",G7,10,1,0.182,1,mGAM
mGAM,With mucin,A. muciniphila,G7P1,P1,11,DSM22959,"A. muciniphila
(DSM22959)",G7,11,1,0.20299999999999999,1,mGAM
mGAM,With mucin,A. muciniphila,G7P1,P1,12,DSM22959,"A. muciniphila
(DSM22959)",G7,12,1,0.23299999999999998,1,mGAM
mGAM,With mucin,A. muciniphila,G7P1,P1,13,DSM22959,"A. muciniphila
(DSM22959)",G7,13,1,0.29099999999999987,1,mGAM
mGAM,With mucin,A. muciniphila,G7P1,P1,14,DSM22959,"A. muciniphila
(DSM22959)",G7,14,1,0.353,1,mGAM
mGAM,With mucin,A. muciniphila,G7P1,P1,15,DSM22959,"A. muciniphila
(DSM22959)",G7,15,1,0.432,1,mGAM
mGAM,With mucin,A. muciniphila,G7P1,P1,16,DSM22959,"A. muciniphila
(DSM22959)",G7,16,1,0.491,1,mGAM
mGAM,With mucin,A. muciniphila,G7P1,P1,17,DSM22959,"A. muciniphila
(DSM22959)",G7,17,1,0.524,1,mGAM
mGAM,With mucin,A. muciniphila,G7P1,P1,18,DSM22959,"A. muciniphila
(DSM22959)",G7,18,1,0.535,1,mGAM
mGAM,With mucin,A. muciniphila,G7P1,P1,19,DSM22959,"A. muciniphila
(DSM22959)",G7,19,1,0.528,1,mGAM
mGAM,With mucin,A. muciniphila,G7P1,P1,20,DSM22959,"A. muciniphila
(DSM22959)",G7,20,1,0.518,1,mGAM
mGAM,With mucin,A. muciniphila,G7P1,P1,21,DSM22959,"A. muciniphila
(DSM22959)",G7,21,1,0.522,1,mGAM
mGAM,With mucin,A. muciniphila,G7P1,P1,22,DSM22959,"A. muciniphila
(DSM22959)",G7,22,1,0.522,1,mGAM
mGAM,With mucin,A. muciniphila,G7P1,P1,23,DSM22959,"A. muciniphila
(DSM22959)",G7,23,1,0.524,1,mGAM
mGAM,With mucin,A. muciniphila,G7P1,P1,24,DSM22959,"A. muciniphila
(DSM22959)",G7,24,1,0.518,1,mGAM
mGAM,With mucin,A. muciniphila,G7P1,P1,25,DSM22959,"A. muciniphila
(DSM22959)",G7,25,1,0.521,1,mGAM
mGAM,With mucin,A. muciniphila,G7P1,P1,26,DSM22959,"A. muciniphila
(DSM22959)",G7,26,1,0.524,1,mGAM
mGAM,With mucin,A. muciniphila,G7P1,P1,27,DSM22959,"A. muciniphila
(DSM22959)",G7,27,1,0.513,1,mGAM
mGAM,With mucin,A. muciniphila,G7P1,P1,28,DSM22959,"A. muciniphila
(DSM22959)",G7,28,1,0.506,1,mGAM
mGAM,With mucin,A. muciniphila,G7P1,P1,29,DSM22959,"A. muciniphila
(DSM22959)",G7,29,1,0.501,1,mGAM
mGAM,With mucin,A. muciniphila,G7P1,P1,30,DSM22959,"A. muciniphila
(DSM22959)",G7,30,1,0.501,1,mGAM
mGAM,With mucin,A. muciniphila,G8P2,P2,0.5,DSM22959,"A. muciniphila
(DSM22959)",G8,0.5,1,0,2,mGAM
mGAM,With mucin,A. muciniphila,G8P2,P2,1,DSM22959,"A. muciniphila
(DSM22959)",G8,1,1,0,2,mGAM
mGAM,With mucin,A. muciniphila,G8P2,P2,2,DSM22959,"A. muciniphila
(DSM22959)",G8,2,1,0,2,mGAM
mGAM,With mucin,A. muciniphila,G8P2,P2,3,DSM22959,"A. muciniphila
(DSM22959)",G8,3,1,0.0050000000000000305,2,mGAM
mGAM,With mucin,A. muciniphila,G8P2,P2,4,DSM22959,"A. muciniphila
(DSM22959)",G8,4,1,0.01200000000000003,2,mGAM
mGAM,With mucin,A. muciniphila,G8P2,P2,5,DSM22959,"A. muciniphila
(DSM22959)",G8,5,1,0.015000000000000029,2,mGAM
mGAM,With mucin,A. muciniphila,G8P2,P2,6,DSM22959,"A. muciniphila
(DSM22959)",G8,6,1,0.02699999999999999,2,mGAM
mGAM,With mucin,A. muciniphila,G8P2,P2,7,DSM22959,"A. muciniphila
(DSM22959)",G8,7,1,0.038999999999999986,2,mGAM
mGAM,With mucin,A. muciniphila,G8P2,P2,8,DSM22959,"A. muciniphila
(DSM22959)",G8,8,1,0.05300000000000001,2,mGAM
mGAM,With mucin,A. muciniphila,G8P2,P2,9,DSM22959,"A. muciniphila
(DSM22959)",G8,9,1,0.06500000000000003,2,mGAM
mGAM,With mucin,A. muciniphila,G8P2,P2,10,DSM22959,"A. muciniphila
(DSM22959)",G8,10,1,0.06500000000000003,2,mGAM
mGAM,With mucin,A. muciniphila,G8P2,P2,11,DSM22959,"A. muciniphila
(DSM22959)",G8,11,1,0.06700000000000003,2,mGAM
mGAM,With mucin,A. muciniphila,G8P2,P2,12,DSM22959,"A. muciniphila
(DSM22959)",G8,12,1,0.08800000000000005,2,mGAM
mGAM,With mucin,A. muciniphila,G8P2,P2,13,DSM22959,"A. muciniphila
(DSM22959)",G8,13,1,0.115,2,mGAM
mGAM,With mucin,A. muciniphila,G8P2,P2,14,DSM22959,"A. muciniphila
(DSM22959)",G8,14,1,0.128,2,mGAM
mGAM,With mucin,A. muciniphila,G8P2,P2,15,DSM22959,"A. muciniphila
(DSM22959)",G8,15,1,0.16599999999999998,2,mGAM
mGAM,With mucin,A. muciniphila,G8P2,P2,16,DSM22959,"A. muciniphila
(DSM22959)",G8,16,1,0.182,2,mGAM
mGAM,With mucin,A. muciniphila,G8P2,P2,17,DSM22959,"A. muciniphila
(DSM22959)",G8,17,1,0.186,2,mGAM
mGAM,With mucin,A. muciniphila,G8P2,P2,18,DSM22959,"A. muciniphila
(DSM22959)",G8,18,1,0.20199999999999999,2,mGAM
mGAM,With mucin,A. muciniphila,G8P2,P2,19,DSM22959,"A. muciniphila
(DSM22959)",G8,19,1,0.245,2,mGAM
mGAM,With mucin,A. muciniphila,G8P2,P2,20,DSM22959,"A. muciniphila
(DSM22959)",G8,20,1,0.259,2,mGAM
mGAM,With mucin,A. muciniphila,G8P2,P2,21,DSM22959,"A. muciniphila
(DSM22959)",G8,21,1,0.321,2,mGAM
mGAM,With mucin,A. muciniphila,G8P2,P2,22,DSM22959,"A. muciniphila
(DSM22959)",G8,22,1,0.33999999999999997,2,mGAM
mGAM,With mucin,A. muciniphila,G8P2,P2,23,DSM22959,"A. muciniphila
(DSM22959)",G8,23,1,0.395,2,mGAM
mGAM,With mucin,A. muciniphila,G8P2,P2,24,DSM22959,"A. muciniphila
(DSM22959)",G8,24,1,0.489,2,mGAM
mGAM,With mucin,A. muciniphila,G8P2,P2,25,DSM22959,"A. muciniphila
(DSM22959)",G8,25,1,0.499,2,mGAM
mGAM,With mucin,A. muciniphila,G8P2,P2,26,DSM22959,"A. muciniphila
(DSM22959)",G8,26,1,0.546,2,mGAM
mGAM,With mucin,A. muciniphila,G8P2,P2,27,DSM22959,"A. muciniphila
(DSM22959)",G8,27,1,0.5609999999999999,2,mGAM
mGAM,With mucin,A. muciniphila,G8P2,P2,28,DSM22959,"A. muciniphila
(DSM22959)",G8,28,1,0.58,2,mGAM
mGAM,With mucin,A. muciniphila,G8P2,P2,29,DSM22959,"A. muciniphila
(DSM22959)",G8,29,1,0.568,2,mGAM
mGAM,With mucin,A. muciniphila,G8P2,P2,30,DSM22959,"A. muciniphila
(DSM22959)",G8,30,1,0.552,2,mGAM
mGAM,With mucin,A. muciniphila,G9P2,P2,0.5,DSM22959,"A. muciniphila
(DSM22959)",G9,0.5,1,0,3,mGAM
mGAM,With mucin,A. muciniphila,G9P2,P2,1,DSM22959,"A. muciniphila
(DSM22959)",G9,1,1,0,3,mGAM
mGAM,With mucin,A. muciniphila,G9P2,P2,2,DSM22959,"A. muciniphila
(DSM22959)",G9,2,1,0,3,mGAM
mGAM,With mucin,A. muciniphila,G9P2,P2,3,DSM22959,"A. muciniphila
(DSM22959)",G9,3,1,0,3,mGAM
mGAM,With mucin,A. muciniphila,G9P2,P2,4,DSM22959,"A. muciniphila
(DSM22959)",G9,4,1,0.00800000000000002,3,mGAM
mGAM,With mucin,A. muciniphila,G9P2,P2,5,DSM22959,"A. muciniphila
(DSM22959)",G9,5,1,0.00300000000000002,3,mGAM
mGAM,With mucin,A. muciniphila,G9P2,P2,6,DSM22959,"A. muciniphila
(DSM22959)",G9,6,1,0.01300000000000003,3,mGAM
mGAM,With mucin,A. muciniphila,G9P2,P2,7,DSM22959,"A. muciniphila
(DSM22959)",G9,7,1,0.016000000000000028,3,mGAM
mGAM,With mucin,A. muciniphila,G9P2,P2,8,DSM22959,"A. muciniphila
(DSM22959)",G9,8,1,0.010000000000000021,3,mGAM
mGAM,With mucin,A. muciniphila,G9P2,P2,9,DSM22959,"A. muciniphila
(DSM22959)",G9,9,1,0.00900000000000002,3,mGAM
mGAM,With mucin,A. muciniphila,G9P2,P2,10,DSM22959,"A. muciniphila
(DSM22959)",G9,10,1,0.02000000000000004,3,mGAM
mGAM,With mucin,A. muciniphila,G9P2,P2,11,DSM22959,"A. muciniphila
(DSM22959)",G9,11,1,0.041999999999999996,3,mGAM
mGAM,With mucin,A. muciniphila,G9P2,P2,12,DSM22959,"A. muciniphila
(DSM22959)",G9,12,1,0.06400000000000004,3,mGAM
mGAM,With mucin,A. muciniphila,G9P2,P2,13,DSM22959,"A. muciniphila
(DSM22959)",G9,13,1,0.08000000000000004,3,mGAM
mGAM,With mucin,A. muciniphila,G9P2,P2,14,DSM22959,"A. muciniphila
(DSM22959)",G9,14,1,0.108,3,mGAM
mGAM,With mucin,A. muciniphila,G9P2,P2,15,DSM22959,"A. muciniphila
(DSM22959)",G9,15,1,0.13,3,mGAM
mGAM,With mucin,A. muciniphila,G9P2,P2,16,DSM22959,"A. muciniphila
(DSM22959)",G9,16,1,0.126,3,mGAM
mGAM,With mucin,A. muciniphila,G9P2,P2,17,DSM22959,"A. muciniphila
(DSM22959)",G9,17,1,0.147,3,mGAM
mGAM,With mucin,A. muciniphila,G9P2,P2,18,DSM22959,"A. muciniphila
(DSM22959)",G9,18,1,0.13399999999999998,3,mGAM
mGAM,With mucin,A. muciniphila,G9P2,P2,19,DSM22959,"A. muciniphila
(DSM22959)",G9,19,1,0.16399999999999998,3,mGAM
mGAM,With mucin,A. muciniphila,G9P2,P2,20,DSM22959,"A. muciniphila
(DSM22959)",G9,20,1,0.19599999999999998,3,mGAM
mGAM,With mucin,A. muciniphila,G9P2,P2,21,DSM22959,"A. muciniphila
(DSM22959)",G9,21,1,0.28099999999999997,3,mGAM
mGAM,With mucin,A. muciniphila,G9P2,P2,22,DSM22959,"A. muciniphila
(DSM22959)",G9,22,1,0.285,3,mGAM
mGAM,With mucin,A. muciniphila,G9P2,P2,23,DSM22959,"A. muciniphila
(DSM22959)",G9,23,1,0.323,3,mGAM
mGAM,With mucin,A. muciniphila,G9P2,P2,24,DSM22959,"A. muciniphila
(DSM22959)",G9,24,1,0.38,3,mGAM
mGAM,With mucin,A. muciniphila,G9P2,P2,25,DSM22959,"A. muciniphila
(DSM22959)",G9,25,1,0.453,3,mGAM
mGAM,With mucin,A. muciniphila,G9P2,P2,26,DSM22959,"A. muciniphila
(DSM22959)",G9,26,1,0.46399999999999997,3,mGAM
mGAM,With mucin,A. muciniphila,G9P2,P2,27,DSM22959,"A. muciniphila
(DSM22959)",G9,27,1,0.46299999999999997,3,mGAM
mGAM,With mucin,A. muciniphila,G9P2,P2,28,DSM22959,"A. muciniphila
(DSM22959)",G9,28,1,0.529,3,mGAM
mGAM,With mucin,A. muciniphila,G9P2,P2,29,DSM22959,"A. muciniphila
(DSM22959)",G9,29,1,0.5609999999999999,3,mGAM
mGAM,With mucin,A. muciniphila,G9P2,P2,30,DSM22959,"A. muciniphila
(DSM22959)",G9,30,1,0.574,3,mGAM
mGAM,Without mucin,A. muciniphila,G1P1,P1,0.5,DSM22959,"A. muciniphila
(DSM22959)",G1,0.5,1,0,1,mGAM
mGAM,Without mucin,A. muciniphila,G1P1,P1,1,DSM22959,"A. muciniphila
(DSM22959)",G1,1,1,0,1,mGAM
mGAM,Without mucin,A. muciniphila,G1P1,P1,2,DSM22959,"A. muciniphila
(DSM22959)",G1,2,1,0,1,mGAM
mGAM,Without mucin,A. muciniphila,G1P1,P1,3,DSM22959,"A. muciniphila
(DSM22959)",G1,3,1,0.0010000000000000096,1,mGAM
mGAM,Without mucin,A. muciniphila,G1P1,P1,4,DSM22959,"A. muciniphila
(DSM22959)",G1,4,1,0.011000000000000001,1,mGAM
mGAM,Without mucin,A. muciniphila,G1P1,P1,5,DSM22959,"A. muciniphila
(DSM22959)",G1,5,1,0.02100000000000001,1,mGAM
mGAM,Without mucin,A. muciniphila,G1P1,P1,6,DSM22959,"A. muciniphila
(DSM22959)",G1,6,1,0.02800000000000001,1,mGAM
mGAM,Without mucin,A. muciniphila,G1P1,P1,7,DSM22959,"A. muciniphila
(DSM22959)",G1,7,1,0.03200000000000002,1,mGAM
mGAM,Without mucin,A. muciniphila,G1P1,P1,8,DSM22959,"A. muciniphila
(DSM22959)",G1,8,1,0.03200000000000002,1,mGAM
mGAM,Without mucin,A. muciniphila,G1P1,P1,9,DSM22959,"A. muciniphila
(DSM22959)",G1,9,1,0.03399999999999999,1,mGAM
mGAM,Without mucin,A. muciniphila,G1P1,P1,10,DSM22959,"A. muciniphila
(DSM22959)",G1,10,1,0.036,1,mGAM
mGAM,Without mucin,A. muciniphila,G1P1,P1,11,DSM22959,"A. muciniphila
(DSM22959)",G1,11,1,0.03499999999999999,1,mGAM
mGAM,Without mucin,A. muciniphila,G1P1,P1,12,DSM22959,"A. muciniphila
(DSM22959)",G1,12,1,0.03299999999999999,1,mGAM
mGAM,Without mucin,A. muciniphila,G1P1,P1,13,DSM22959,"A. muciniphila
(DSM22959)",G1,13,1,0.030000000000000006,1,mGAM
mGAM,Without mucin,A. muciniphila,G1P1,P1,14,DSM22959,"A. muciniphila
(DSM22959)",G1,14,1,0.030000000000000006,1,mGAM
mGAM,Without mucin,A. muciniphila,G1P1,P1,15,DSM22959,"A. muciniphila
(DSM22959)",G1,15,1,0.029000000000000005,1,mGAM
mGAM,Without mucin,A. muciniphila,G1P1,P1,16,DSM22959,"A. muciniphila
(DSM22959)",G1,16,1,0.029000000000000005,1,mGAM
mGAM,Without mucin,A. muciniphila,G1P1,P1,17,DSM22959,"A. muciniphila
(DSM22959)",G1,17,1,0.03100000000000002,1,mGAM
mGAM,Without mucin,A. muciniphila,G1P1,P1,18,DSM22959,"A. muciniphila
(DSM22959)",G1,18,1,0.03499999999999999,1,mGAM
mGAM,Without mucin,A. muciniphila,G1P1,P1,19,DSM22959,"A. muciniphila
(DSM22959)",G1,19,1,0.045,1,mGAM
mGAM,Without mucin,A. muciniphila,G1P1,P1,20,DSM22959,"A. muciniphila
(DSM22959)",G1,20,1,0.056000000000000015,1,mGAM
mGAM,Without mucin,A. muciniphila,G1P1,P1,21,DSM22959,"A. muciniphila
(DSM22959)",G1,21,1,0.07300000000000002,1,mGAM
mGAM,Without mucin,A. muciniphila,G1P1,P1,22,DSM22959,"A. muciniphila
(DSM22959)",G1,22,1,0.099,1,mGAM
mGAM,Without mucin,A. muciniphila,G1P1,P1,23,DSM22959,"A. muciniphila
(DSM22959)",G1,23,1,0.10300000000000001,1,mGAM
mGAM,Without mucin,A. muciniphila,G1P1,P1,24,DSM22959,"A. muciniphila
(DSM22959)",G1,24,1,0.098,1,mGAM
mGAM,Without mucin,A. muciniphila,G1P1,P1,25,DSM22959,"A. muciniphila
(DSM22959)",G1,25,1,0.093,1,mGAM
mGAM,Without mucin,A. muciniphila,G1P1,P1,26,DSM22959,"A. muciniphila
(DSM22959)",G1,26,1,0.09000000000000001,1,mGAM
mGAM,Without mucin,A. muciniphila,G1P1,P1,27,DSM22959,"A. muciniphila
(DSM22959)",G1,27,1,0.086,1,mGAM
mGAM,Without mucin,A. muciniphila,G1P1,P1,28,DSM22959,"A. muciniphila
(DSM22959)",G1,28,1,0.08299999999999999,1,mGAM
mGAM,Without mucin,A. muciniphila,G1P1,P1,29,DSM22959,"A. muciniphila
(DSM22959)",G1,29,1,0.07900000000000004,1,mGAM
mGAM,Without mucin,A. muciniphila,G1P1,P1,30,DSM22959,"A. muciniphila
(DSM22959)",G1,30,1,0.07400000000000004,1,mGAM
mGAM,Without mucin,A. muciniphila,G3P2,P2,0.5,DSM22959,"A. muciniphila
(DSM22959)",G3,0.5,1,0,3,mGAM
mGAM,Without mucin,A. muciniphila,G3P2,P2,1,DSM22959,"A. muciniphila
(DSM22959)",G3,1,1,0,3,mGAM
mGAM,Without mucin,A. muciniphila,G3P2,P2,2,DSM22959,"A. muciniphila
(DSM22959)",G3,2,1,0,3,mGAM
mGAM,Without mucin,A. muciniphila,G3P2,P2,3,DSM22959,"A. muciniphila
(DSM22959)",G3,3,1,0,3,mGAM
mGAM,Without mucin,A. muciniphila,G3P2,P2,4,DSM22959,"A. muciniphila
(DSM22959)",G3,4,1,0.007999999999999998,3,mGAM
mGAM,Without mucin,A. muciniphila,G3P2,P2,5,DSM22959,"A. muciniphila
(DSM22959)",G3,5,1,0.018000000000000002,3,mGAM
mGAM,Without mucin,A. muciniphila,G3P2,P2,6,DSM22959,"A. muciniphila
(DSM22959)",G3,6,1,0.025999999999999995,3,mGAM
mGAM,Without mucin,A. muciniphila,G3P2,P2,7,DSM22959,"A. muciniphila
(DSM22959)",G3,7,1,0.030999999999999986,3,mGAM
mGAM,Without mucin,A. muciniphila,G3P2,P2,8,DSM22959,"A. muciniphila
(DSM22959)",G3,8,1,0.03499999999999999,3,mGAM
mGAM,Without mucin,A. muciniphila,G3P2,P2,9,DSM22959,"A. muciniphila
(DSM22959)",G3,9,1,0.038,3,mGAM
mGAM,Without mucin,A. muciniphila,G3P2,P2,10,DSM22959,"A. muciniphila
(DSM22959)",G3,10,1,0.040999999999999995,3,mGAM
mGAM,Without mucin,A. muciniphila,G3P2,P2,11,DSM22959,"A. muciniphila
(DSM22959)",G3,11,1,0.040999999999999995,3,mGAM
mGAM,Without mucin,A. muciniphila,G3P2,P2,12,DSM22959,"A. muciniphila
(DSM22959)",G3,12,1,0.04,3,mGAM
mGAM,Without mucin,A. muciniphila,G3P2,P2,13,DSM22959,"A. muciniphila
(DSM22959)",G3,13,1,0.038999999999999986,3,mGAM
mGAM,Without mucin,A. muciniphila,G3P2,P2,14,DSM22959,"A. muciniphila
(DSM22959)",G3,14,1,0.037,3,mGAM
mGAM,Without mucin,A. muciniphila,G3P2,P2,15,DSM22959,"A. muciniphila
(DSM22959)",G3,15,1,0.03499999999999999,3,mGAM
mGAM,Without mucin,A. muciniphila,G3P2,P2,16,DSM22959,"A. muciniphila
(DSM22959)",G3,16,1,0.03399999999999999,3,mGAM
mGAM,Without mucin,A. muciniphila,G3P2,P2,17,DSM22959,"A. muciniphila
(DSM22959)",G3,17,1,0.036,3,mGAM
mGAM,Without mucin,A. muciniphila,G3P2,P2,18,DSM22959,"A. muciniphila
(DSM22959)",G3,18,1,0.036,3,mGAM
mGAM,Without mucin,A. muciniphila,G3P2,P2,19,DSM22959,"A. muciniphila
(DSM22959)",G3,19,1,0.038999999999999986,3,mGAM
mGAM,Without mucin,A. muciniphila,G3P2,P2,20,DSM22959,"A. muciniphila
(DSM22959)",G3,20,1,0.044,3,mGAM
mGAM,Without mucin,A. muciniphila,G3P2,P2,21,DSM22959,"A. muciniphila
(DSM22959)",G3,21,1,0.056000000000000015,3,mGAM
mGAM,Without mucin,A. muciniphila,G3P2,P2,22,DSM22959,"A. muciniphila
(DSM22959)",G3,22,1,0.07000000000000002,3,mGAM
mGAM,Without mucin,A. muciniphila,G3P2,P2,23,DSM22959,"A. muciniphila
(DSM22959)",G3,23,1,0.087,3,mGAM
mGAM,Without mucin,A. muciniphila,G3P2,P2,24,DSM22959,"A. muciniphila
(DSM22959)",G3,24,1,0.10500000000000001,3,mGAM
mGAM,Without mucin,A. muciniphila,G3P2,P2,25,DSM22959,"A. muciniphila
(DSM22959)",G3,25,1,0.109,3,mGAM
mGAM,Without mucin,A. muciniphila,G3P2,P2,26,DSM22959,"A. muciniphila
(DSM22959)",G3,26,1,0.10300000000000001,3,mGAM
mGAM,Without mucin,A. muciniphila,G3P2,P2,27,DSM22959,"A. muciniphila
(DSM22959)",G3,27,1,0.098,3,mGAM
mGAM,Without mucin,A. muciniphila,G3P2,P2,28,DSM22959,"A. muciniphila
(DSM22959)",G3,28,1,0.09100000000000001,3,mGAM
mGAM,Without mucin,A. muciniphila,G3P2,P2,29,DSM22959,"A. muciniphila
(DSM22959)",G3,29,1,0.08499999999999999,3,mGAM
mGAM,Without mucin,A. muciniphila,G3P2,P2,30,DSM22959,"A. muciniphila
(DSM22959)",G3,30,1,0.07999999999999997,3,mGAM
mGAM,Without mucin,A. muciniphila,G2P1,P1,0.5,DSM22959,"A. muciniphila
(DSM22959)",G2,0.5,1,0,2,mGAM
mGAM,Without mucin,A. muciniphila,G2P1,P1,1,DSM22959,"A. muciniphila
(DSM22959)",G2,1,1,0,2,mGAM
mGAM,Without mucin,A. muciniphila,G2P1,P1,2,DSM22959,"A. muciniphila
(DSM22959)",G2,2,1,0,2,mGAM
mGAM,Without mucin,A. muciniphila,G2P1,P1,3,DSM22959,"A. muciniphila
(DSM22959)",G2,3,1,9.999999999999905e-4,2,mGAM
mGAM,Without mucin,A. muciniphila,G2P1,P1,4,DSM22959,"A. muciniphila
(DSM22959)",G2,4,1,0.011999999999999999,2,mGAM
mGAM,Without mucin,A. muciniphila,G2P1,P1,5,DSM22959,"A. muciniphila
(DSM22959)",G2,5,1,0.02100000000000001,2,mGAM
mGAM,Without mucin,A. muciniphila,G2P1,P1,6,DSM22959,"A. muciniphila
(DSM22959)",G2,6,1,0.02899999999999999,2,mGAM
mGAM,Without mucin,A. muciniphila,G2P1,P1,7,DSM22959,"A. muciniphila
(DSM22959)",G2,7,1,0.03499999999999999,2,mGAM
mGAM,Without mucin,A. muciniphila,G2P1,P1,8,DSM22959,"A. muciniphila
(DSM22959)",G2,8,1,0.038999999999999986,2,mGAM
mGAM,Without mucin,A. muciniphila,G2P1,P1,9,DSM22959,"A. muciniphila
(DSM22959)",G2,9,1,0.038999999999999986,2,mGAM
mGAM,Without mucin,A. muciniphila,G2P1,P1,10,DSM22959,"A. muciniphila
(DSM22959)",G2,10,1,0.04,2,mGAM
mGAM,Without mucin,A. muciniphila,G2P1,P1,11,DSM22959,"A. muciniphila
(DSM22959)",G2,11,1,0.038,2,mGAM
mGAM,Without mucin,A. muciniphila,G2P1,P1,12,DSM22959,"A. muciniphila
(DSM22959)",G2,12,1,0.036,2,mGAM
mGAM,Without mucin,A. muciniphila,G2P1,P1,13,DSM22959,"A. muciniphila
(DSM22959)",G2,13,1,0.03299999999999999,2,mGAM
mGAM,Without mucin,A. muciniphila,G2P1,P1,14,DSM22959,"A. muciniphila
(DSM22959)",G2,14,1,0.030999999999999986,2,mGAM
mGAM,Without mucin,A. muciniphila,G2P1,P1,15,DSM22959,"A. muciniphila
(DSM22959)",G2,15,1,0.029999999999999985,2,mGAM
mGAM,Without mucin,A. muciniphila,G2P1,P1,16,DSM22959,"A. muciniphila
(DSM22959)",G2,16,1,0.02799999999999999,2,mGAM
mGAM,Without mucin,A. muciniphila,G2P1,P1,17,DSM22959,"A. muciniphila
(DSM22959)",G2,17,1,0.02899999999999999,2,mGAM
mGAM,Without mucin,A. muciniphila,G2P1,P1,18,DSM22959,"A. muciniphila
(DSM22959)",G2,18,1,0.03399999999999999,2,mGAM
mGAM,Without mucin,A. muciniphila,G2P1,P1,19,DSM22959,"A. muciniphila
(DSM22959)",G2,19,1,0.044,2,mGAM
mGAM,Without mucin,A. muciniphila,G2P1,P1,20,DSM22959,"A. muciniphila
(DSM22959)",G2,20,1,0.056000000000000015,2,mGAM
mGAM,Without mucin,A. muciniphila,G2P1,P1,21,DSM22959,"A. muciniphila
(DSM22959)",G2,21,1,0.07099999999999997,2,mGAM
mGAM,Without mucin,A. muciniphila,G2P1,P1,22,DSM22959,"A. muciniphila
(DSM22959)",G2,22,1,0.088,2,mGAM
