Genus	cazy_family	mean	sd	numberGenomes	Phylum
Barnesiella (1236)	GH92	6.934466019417476	1.1710722957705506	1236	Bacteroidetes
Barnesiella (1236)	GH95	1.192556634304207	0.5279028258601123	1236	Bacteroidetes
Barnesiella (1236)	GH97	3.487864077669903	0.6200548239865787	1236	Bacteroidetes
Coprobacter (119)	CBM32	6.873949579831932	1.2592345122169646	119	Bacteroidetes
Coprobacter (119)	CBM51	0.01680672268907563	0.18333969940564226	119	Bacteroidetes
Coprobacter (119)	GH109	0.6302521008403361	0.5654688502935672	119	Bacteroidetes
Coprobacter (119)	GH110	0.6302521008403361	0.5502779916641732	119	Bacteroidetes
Coprobacter (119)	GH112	0	0	119	Bacteroidetes
Coprobacter (119)	GH123	0.025210084033613446	0.20428398619591936	119	Bacteroidetes
Coprobacter (119)	GH130	2.0756302521008405	0.4349101575943582	119	Bacteroidetes
Coprobacter (119)	GH136	0.01680672268907563	0.12909025073869204	119	Bacteroidetes
Coprobacter (119)	GH16	0.04201680672268908	0.37721005215125675	119	Bacteroidetes
Coprobacter (119)	GH18	0.058823529411764705	0.26978075364060966	119	Bacteroidetes
Coprobacter (119)	GH2	18.26890756302521	2.5864624063609716	119	Bacteroidetes
Coprobacter (119)	GH20	2.26890756302521	1.0142834073206781	119	Bacteroidetes
Coprobacter (119)	GH27	0.9663865546218487	0.43046630430235033	119	Bacteroidetes
Coprobacter (119)	GH29	1.5798319327731092	1.6646667011000482	119	Bacteroidetes
Coprobacter (119)	GH31	2.8487394957983194	1.139719378650258	119	Bacteroidetes
Coprobacter (119)	GH33	1.0168067226890756	0.31844945524783486	119	Bacteroidetes
Coprobacter (119)	GH35	1.084033613445378	0.3813408976447365	119	Bacteroidetes
Coprobacter (119)	GH36	1.1092436974789917	0.3392393277085941	119	Bacteroidetes
Coprobacter (119)	GH42	0.008403361344537815	0.09166984970282113	119	Bacteroidetes
Coprobacter (119)	GH84	1.773109243697479	0.4205922940273465	119	Bacteroidetes
Coprobacter (119)	GH85	3.8907563025210083	1.1333908623629836	119	Bacteroidetes
Coprobacter (119)	GH89	0.37815126050420167	1.0414429090730644	119	Bacteroidetes
Coprobacter (119)	GH92	11.806722689075631	1.0598793577362564	119	Bacteroidetes
Coprobacter (119)	GH95	5.168067226890757	1.083929822381977	119	Bacteroidetes
Coprobacter (119)	GH97	3.2521008403361344	0.9497411547003168	119	Bacteroidetes
Eisenbergiella (53)	CBM32	1	0.2773500981126146	53	Firmicutes
Eisenbergiella (53)	CBM51	1.3584905660377358	0.5579612484008016	53	Firmicutes
Eisenbergiella (53)	GH109	1	0.3396831102433787	53	Firmicutes
Eisenbergiella (53)	GH110	0.24528301886792453	0.47659289099246677	53	Firmicutes
Eisenbergiella (53)	GH112	1.8679245283018868	0.4818927365909349	53	Firmicutes
Eisenbergiella (53)	GH123	0.8867924528301887	0.31987842392976584	53	Firmicutes
Eisenbergiella (53)	GH130	0.018867924528301886	0.13736056394868904	53	Firmicutes
Eisenbergiella (53)	GH136	0.9056603773584906	0.2950978288503027	53	Firmicutes
Eisenbergiella (53)	GH16	0.05660377358490566	0.30477572710378376	53	Firmicutes
Eisenbergiella (53)	GH18	3.207547169811321	0.8170888890077461	53	Firmicutes
Eisenbergiella (53)	GH2	29.943396226415093	5.3075240292206605	53	Firmicutes
Eisenbergiella (53)	GH20	4.245283018867925	1.299491918129166	53	Firmicutes
Eisenbergiella (53)	GH27	1.9245283018867925	0.33102734047981275	53	Firmicutes
Eisenbergiella (53)	GH29	13.60377358490566	2.7619643416730493	53	Firmicutes
Eisenbergiella (53)	GH31	12.716981132075471	2.898125113364514	53	Firmicutes
Eisenbergiella (53)	GH33	2.3207547169811322	0.8032047565763898	53	Firmicutes
Eisenbergiella (53)	GH35	6.150943396226415	1.4464309711931316	53	Firmicutes
Eisenbergiella (53)	GH36	6.018867924528302	1.4476847037429728	53	Firmicutes
Eisenbergiella (53)	GH42	7.962264150943396	1.8497636455144895	53	Firmicutes
Eisenbergiella (53)	GH84	0.018867924528301886	0.13736056394868904	53	Firmicutes
Eisenbergiella (53)	GH85	0	0	53	Firmicutes
Eisenbergiella (53)	GH89	0.03773584905660377	0.27472112789737807	53	Firmicutes
Eisenbergiella (53)	GH92	0.18867924528301888	1.2412246398925306	53	Firmicutes
Eisenbergiella (53)	GH95	7.377358490566038	1.4036547774996806	53	Firmicutes
Eisenbergiella (53)	GH97	1.1320754716981132	1.1100543273097494	53	Firmicutes
Hungatella (66)	CBM32	0.015151515151515152	0.12309149097933274	66	Firmicutes
Hungatella (66)	CBM51	0.18181818181818182	0.38865016537877745	66	Firmicutes
Hungatella (66)	GH109	0	0	66	Firmicutes
Hungatella (66)	GH110	0.8181818181818182	0.46107202537934633	66	Firmicutes
Hungatella (66)	GH112	2.378787878787879	0.6267167564170378	66	Firmicutes
Hungatella (66)	GH123	1.7727272727272727	0.5489978154770758	66	Firmicutes
Hungatella (66)	GH130	0.8939393939393939	0.39725163034134653	66	Firmicutes
